symbol,rate
AUDUSD=X,0.6455486416816711
AUDGBP=X,0.47738000750541687
EURJPY=X,161.6320037841797
AUDCHF=X,0.5311999917030334
EURCAD=X,1.5650700330734253
GBPCAD=X,1.8656100034713745
NZDCHF=X,0.4903999865055084
USDCAD=X,1.3802299499511719
AUDEUR=X,0.5691800117492676
CHFJPY=X,173.18099975585938
NZDGBP=X,0.4407700002193451
NZDEUR=X,0.5251200199127197
GBPJPY=X,192.64199829101562
GBPNZD=X,2.267899990081787
AEDUSD=X,0.27228665351867676
CADCHF=X,0.5961300134658813
AUDNZD=X,1.0829299688339233
EURGBP=X,0.8388599753379822
CADUSD=X,0.7245011925697327
JPYCHF=X,0.005772999953478575
GBPEUR=X,1.1919200420379639
JPYUSD=X,0.00701621500775218
GBPAUD=X,2.0943899154663086
GBPCHF=X,1.112220048904419
EURAUD=X,1.7570300102233887
USDAED=X,3.672600030899048
CADJPY=X,103.24299621582031
AUDJPY=X,91.98799896240234
USDJPY=X,142.50100708007812
NZDJPY=X,84.93399810791016
USDCHF=X,0.8226699829101562
CHFUSD=X,1.2155542373657227
AUDCAD=X,0.8908600211143494
NZDCAD=X,0.8225799798965454
NZDAUD=X,0.9231399893760681
USDAUD=X,1.5486799478530884
EURCHF=X,0.9331799745559692
EURNZD=X,1.9027899503707886
