symbol,rate
PKRGBP=X,0.00262079993262887
CHFCOP=X,5071.2998046875
EGPUSD=X,0.020060181617736816
CADUSD=X,0.7247900366783142
CADEGP=X,36.137298583984375
AEDUSD=X,0.2722940742969513
EURCOP=X,4730.990234375
USDEUR=X,0.8824999928474426
QARGBP=X,0.20404000580310822
NZDJPY=X,84.99600219726562
GBPCOP=X,5641.2998046875
JPYUSD=X,0.007009083870798349
CHFQAR=X,4.4029998779296875
QAREUR=X,0.242249995470047
COPEUR=X,0.00021090000518597662
JPYCHF=X,0.005770000163465738
CADNZD=X,1.2148000001907349
AEDQAR=X,0.9861000180244446
EURPKR=X,320.23199462890625
PKRJPY=X,0.5055000185966492
EGPJPY=X,2.8440001010894775
GBPEGP=X,67.35279846191406
EGPPKR=X,5.625
EURCAD=X,1.562849998474121
CADEUR=X,0.6392999887466431
CADCOP=X,3023.39990234375
GBPUSD=X,1.3511505126953125
AUDPKR=X,182.2989959716797
USDAUD=X,1.5487600564956665
NZDPKR=X,168.06500244140625
AUDEGP=X,32.22370147705078
AUDNZD=X,1.0832899808883667
EURAED=X,4.161499977111816
AEDAUD=X,0.4211600124835968
JPYCOP=X,29.25
USDQAR=X,3.640000104904175
JPYAUD=X,0.010857000015676022
NZDEUR=X,0.5253000259399414
EGPCHF=X,0.016049999743700027
AEDPKR=X,76.80799865722656
CHFAUD=X,1.881700038909912
QARJPY=X,39.38600158691406
PKRCHF=X,0.0028780000284314156
GBPPKR=X,380.8290100097656
JPYGBP=X,0.0051830001175403595
NZDCHF=X,0.49039000272750854
CADGBP=X,0.5358999967575073
COPJPY=X,0.0341080017387867
JPYPKR=X,1.965999960899353
CHFPKR=X,341.5719909667969
CHFEUR=X,1.0719000101089478
GBPCHF=X,1.112339973449707
USDNZD=X,1.6780999898910522
NZDUSD=X,0.5959120392799377
AUDEUR=X,0.5697000026702881
CHFEGP=X,60.412601470947266
USDCOP=X,4173.8701171875
USDCAD=X,1.379580020904541
GBPJPY=X,192.76400756835938
NZDCAD=X,0.821940004825592
QARPKR=X,77.4229965209961
CHFGBP=X,0.8985000252723694
USDCHF=X,0.823140025138855
USDPKR=X,281.95001220703125
CHFJPY=X,173.2760009765625
JPYCAD=X,0.009665999561548233
USDGBP=X,0.7401099801063538
AEDGBP=X,0.2009200006723404
PKRUSD=X,0.003546728054061532
EURAUD=X,1.7550599575042725
GBPNZD=X,2.268019914627075
PKREGP=X,0.1764799952507019
PKRQAR=X,0.012409999966621399
GBPEUR=X,1.192620038986206
USDJPY=X,142.6540069580078
JPYQAR=X,0.024870000779628754
EURNZD=X,1.9016000032424927
AEDCAD=X,0.375110000371933
JPYEGP=X,0.34825000166893005
USDEGP=X,49.849998474121094
AUDQAR=X,2.3378000259399414
AUDJPY=X,92.09400177001953
AUDCHF=X,0.5313400030136108
EGPEUR=X,0.017160000279545784
CHFAED=X,4.461900234222412
NZDGBP=X,0.4407599866390228
AUDGBP=X,0.47742998600006104
EURQAR=X,4.118299961090088
PKREUR=X,0.003073000116273761
AEDNZD=X,0.45625999569892883
GBPQAR=X,4.893700122833252
NZDAUD=X,0.9227700233459473
QARAED=X,1.003999948501587
GBPCAD=X,1.8643900156021118
AUDAED=X,2.3666000366210938
JPYNZD=X,0.011762999929487705
AUDCOP=X,2692.89990234375
AUDCAD=X,0.890529990196228
CADJPY=X,103.39199829101562
AEDJPY=X,38.79800033569336
NZDAED=X,2.1868999004364014
PKRAED=X,0.012520000338554382
CHFUSD=X,1.2147420644760132
AEDCHF=X,0.22356000542640686
EGPGBP=X,0.014349999837577343
EURCHF=X,0.9327499866485596
AUDUSD=X,0.6456778049468994
EURUSD=X,1.133144497871399
CADAED=X,2.657399892807007
EUREGP=X,56.618499755859375
CHFNZD=X,2.0385000705718994
JPYAED=X,0.025259999558329582
PKRCAD=X,0.00484299985691905
CADCHF=X,0.5966100096702576
CADPKR=X,204.32899475097656
PKRAUD=X,0.0054350001737475395
QARUSD=X,0.2747252583503723
COPUSD=X,0.00023952266201376915
USDAED=X,3.6726999282836914
CADQAR=X,2.626800060272217
CHFCAD=X,1.6753000020980835
COPGBP=X,0.00017672000103630126
CADAUD=X,1.122499942779541
GBPAED=X,4.963399887084961
JPYEUR=X,0.006185299716889858
EURJPY=X,161.63400268554688
AEDEUR=X,0.23997999727725983
EGPAED=X,0.07310999929904938
EURGBP=X,0.8384299874305725
GBPAUD=X,2.0935800075531006
